"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd"
"002371","2019-10-23","64.130","64.500","62.880","63.010","4985981"
"002371","2019-10-24","63.150","63.310","62.500","63.040","3138101"
"002371","2019-10-25","63.130","65.000","62.360","64.850","6066995"
"002371","2019-10-28","66.900","67.850","65.080","67.290","11058742"
"002371","2019-10-29","67.600","70.370","66.630","66.680","13189322"
"002371","2019-10-30","66.000","69.950","65.850","68.690","11269847"
"002371","2019-10-31","69.600","72.130","69.280","70.750","14006339"
"002371","2019-11-01","70.560","71.480","69.300","70.950","8826687"
"002371","2019-11-04","71.400","71.960","69.800","71.080","8269591"
"002371","2019-11-05","71.060","73.780","71.000","72.750","10989573"
"002371","2019-11-06","71.910","73.250","69.720","69.920","10700402"
"002371","2019-11-07","70.100","71.440","70.000","71.000","6688037"
"002371","2019-11-08","72.000","72.350","69.870","69.880","7820439"
"002371","2019-11-11","69.000","70.360","68.300","68.580","6139488"
"002371","2019-11-12","69.030","69.550","66.820","69.200","7283445"
"002371","2019-11-13","72.530","76.120","71.680","76.120","17793054"
"002371","2019-11-14","79.700","80.300","77.370","79.110","26909185"
"002371","2019-11-15","78.760","80.330","76.810","77.240","16507969"
"002371","2019-11-18","77.230","78.340","75.900","76.850","10571161"
"002371","2019-11-19","76.500","77.500","75.500","77.350","12134983"
"002371","2019-11-20","77.250","78.370","75.600","75.800","12010427"
"002371","2019-11-21","75.000","76.600","74.680","76.040","7050673"
"002371","2019-11-22","76.010","77.990","71.880","72.710","15320798"
"002371","2019-11-25","73.500","73.800","70.200","70.610","8764381"
"002371","2019-11-26","70.910","72.070","70.630","71.500","7231074"
"002371","2019-11-27","71.500","77.240","71.100","76.050","13602278"
"002371","2019-11-28","75.750","78.560","75.450","77.000","12312990"
"002371","2019-11-29","77.750","78.380","76.200","78.200","9894925"
"002371","2019-12-02","78.490","81.710","77.180","80.000","12599516"
"002371","2019-12-03","78.800","81.000","78.350","79.990","7793311"
"002371","2019-12-04","79.990","87.990","79.990","86.330","22587735"
"002371","2019-12-05","86.010","91.760","85.410","88.160","22094602"
"002371","2019-12-06","88.670","90.940","87.770","90.310","11408152"
"002371","2019-12-09","90.900","91.970","88.640","88.640","10009669"
"002371","2019-12-10","88.700","91.480","87.200","90.100","10876228"
"002371","2019-12-11","89.350","93.330","87.420","89.870","13618922"
"002371","2019-12-12","89.600","92.950","89.600","90.800","12181807"
"002371","2019-12-13","91.280","91.490","86.800","90.300","12261385"
"002371","2019-12-16","89.820","92.300","87.600","92.300","14406474"
"002371","2019-12-17","91.760","91.900","89.000","90.670","10761661"
"002371","2019-12-18","90.230","93.320","90.140","91.800","11769436"
"002371","2019-12-19","91.890","91.890","85.500","87.700","15482793"
"002371","2019-12-20","87.540","88.330","85.800","85.820","7382678"
"002371","2019-12-23","82.850","84.500","81.820","82.500","12785234"
"002371","2019-12-24","83.280","86.930","82.630","86.500","10161003"
"002371","2019-12-25","86.980","95.000","86.500","93.990","19511289"
"002371","2019-12-26","93.000","93.980","91.500","92.860","8315920"
"002371","2019-12-27","92.500","92.580","88.180","88.810","11320184"
"002371","2019-12-30","88.820","90.330","85.860","88.610","8612085"
"002371","2019-12-31","88.660","89.500","87.000","88.000","5423341"
"002371","2020-01-02","88.620","93.260","88.000","93.000","11858214"
